1.30	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	-166.72	-2.27		
-4	1.30	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-4	-166.72	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	-166.72	-2.27		
-4	-166.72	-2.27		
-4	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-4	-166.72	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	-166.72	-2.27		
-4	-166.72	-2.27		
-4	1.30	-2.27		
-5	-166.72	-2.27		
-5	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.30	-2.27		
-4	1.63	-2.27		
-4	-166.72	-2.27		
-4	-166.72	-2.27		
-4	1.63	-2.27		
-4	-166.72	-2.27		
-4	1.63	-2.27		
-4	1.63	-2.60		
-4	-166.72	-2.60		
-4	-166.72	-2.60		
-4	1.63	-2.60		
-4	-166.72	-2.60		
-4	1.95	-2.60		
-3	1.95	-2.60		
-3	-166.72	-2.93		
-3	2.27	-3.25		
-3	-166.72	-3.25		
-3	2.60	-3.57		
-4	-166.72	-3.90		
-4	2.93	-3.90		
-4	-166.72	-3.90		
-4	2.93	-3.90		
-4	-166.72	-3.90		
-4	3.25	-3.90		
-4	3.25	-3.90		
-5	-166.72	-3.90		
-5	-166.72	-3.90		
-5	3.25	-3.90		
-5	3.25	-3.90		
-5	3.25	-4.23		
-6	-166.72	-4.23		
-6	-166.72	-4.23		
-6	3.25	-4.55		
-7	-166.72	-4.55		
-7	3.25	-4.55		
-8	-166.72	-4.55		
-8	3.25	-4.55		
-8	-166.72	-4.55		
-9	3.25	-4.55		
-9	-166.72	-4.88		
-9	3.25	-4.88		
-10	-166.72	-4.88		
-10	3.25	-4.88		
-10	-166.72	-4.88		
-11	3.25	-4.88		
-11	-166.72	-4.88		
-12	3.25	-4.88		
-12	-166.72	-4.88		
-13	3.25	-4.88		
-13	3.25	-4.88		
-14	-166.72	-4.88		
-15	3.25	-4.88		
-16	-166.72	-4.88		
-16	3.25	-4.88		
-17	-166.72	-4.88		
-17	3.25	-4.55		
-18	-166.72	-4.55		
-19	3.25	-4.55		
-20	-166.72	-4.55		
-20	3.25	-4.55		
-21	-166.72	-4.55		
-22	3.25	-4.23		
-22	-166.72	-4.55		
-22	3.25	-4.23		
-23	-166.72	-4.23		
-23	3.25	-4.23		
-24	-166.72	-4.23		
-24	3.25	-4.23		
-25	3.25	-4.23		
-25	-166.72	-4.23		
-25	2.93	-4.23		
-26	-166.72	-4.23		
-26	2.93	-4.23		
-26	-166.72	-4.23		
-27	2.93	-3.90		
-27	-166.72	-3.90		
-27	2.93	-3.90		
-28	-166.72	-3.90		
-28	2.93	-3.90		
-29	-166.72	-3.90		
-29	2.93	-3.90		
-29	-166.72	-3.90		
-29	2.60	-3.90		
-30	-166.72	-3.90		
-30	2.27	-3.90		
-30	-166.72	-3.57		
-31	2.27	-3.57		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-31	-166.72	-3.25		
-31	2.27	-3.25		
-31	-166.72	-3.25		
-30	2.27	-3.25		
-30	-166.72	-3.25		
-30	2.27	-3.25		
-30	2.27	-3.25		
-30	-166.72	-3.25		
-30	2.27	-3.25		
-30	-166.72	-3.25		
-30	2.27	-3.25		
-30	-166.72	-3.25		
-30	2.27	-3.25		
-30	-166.72	-3.25		
-29	2.27	-3.25		
-29	-166.72	-3.25		
-29	2.27	-3.25		
-29	2.27	-3.25		
-29	-166.72	-3.25		
